scale,ncc,meanpat,stdpat,nlinks,fclust,rep
0.010000,1341,11.660701,37.960407,1382,0.988938,70
0.010000,1341,11.660701,37.910175,1382,0.988938,71
0.010000,1341,11.660701,37.922314,1382,0.988938,72
0.010000,1341,11.660701,37.927467,1382,0.988938,73
0.010000,1341,11.660701,37.943096,1382,0.988938,74
0.010000,1341,11.660701,38.013992,1382,0.988938,75
0.010000,1341,11.660701,37.940376,1382,0.988938,76
0.010000,1341,11.660701,37.912090,1382,0.988938,77
0.010000,1341,11.660701,37.939793,1382,0.988938,78
0.010000,1341,11.660701,37.909607,1382,0.988938,79
0.010000,1341,11.660701,37.920006,1382,0.988938,80
0.010000,1341,11.660701,37.909889,1382,0.988938,81
0.010000,1341,11.660701,37.926353,1382,0.988938,82
0.010000,1341,11.660701,38.044739,1382,0.988938,83
0.010000,1341,11.660701,37.967590,1382,0.988938,84
0.010000,1341,11.660701,37.909733,1382,0.988938,85
0.010000,1341,11.660701,37.922832,1382,0.988938,86
0.010000,1341,11.660701,37.909336,1382,0.988938,87
0.010000,1341,11.660701,37.915295,1382,0.988938,88
0.010000,1341,11.660701,37.939716,1382,0.988938,89
0.010000,1341,11.660701,37.928104,1382,0.988938,90
0.010000,1341,11.660701,37.934303,1382,0.988938,91
0.010000,1341,11.660701,37.963593,1382,0.988938,92
0.010000,1341,11.660701,37.910141,1382,0.988938,93
0.010000,1341,11.660701,37.910110,1382,0.988938,94
0.010000,1341,11.660701,37.930641,1382,0.988938,95
0.010000,1341,11.660701,37.924885,1382,0.988938,96
0.010000,1341,11.660701,37.936581,1382,0.988938,97
0.010000,1341,11.660701,37.911827,1382,0.988938,98
0.010000,1341,11.660701,37.929001,1382,0.988938,99
0.012041,1337,11.695587,38.001839,1390,0.985988,0
0.012041,1337,11.695587,37.975613,1390,0.985988,1
0.012041,1337,11.695587,38.002026,1390,0.985988,2
0.012041,1337,11.695587,37.985096,1390,0.985988,3
0.012041,1337,11.695587,38.030197,1390,0.985988,4
0.012041,1337,11.695587,37.966309,1390,0.985988,5
0.012041,1337,11.695587,37.986305,1390,0.985988,6
0.012041,1337,11.695587,38.062431,1390,0.985988,7
0.012041,1337,11.695587,38.034485,1390,0.985988,8
0.012041,1337,11.695587,37.975086,1390,0.985988,9
