,t,p,v,replicate,alpha,error
0,10000,1.7,0.4,0,-1.14155,1.8973
0,10000,1.7,0.425,0,-1.14761,2.1874
0,10000,1.7,0.45,0,-1.11852,1.8786
0,10000,1.7,0.475,0,-1.10271,1.5017
0,10000,1.7,0.5,0,-1.08189,1.3586
0,10000,1.8,0.0,0,-1.66079,200.6045
0,10000,1.8,0.025,0,-2.17747,257.4342
0,10000,1.8,0.05,0,-1.93159,118.3918
0,10000,1.8,0.075,0,-1.75716,55.092
0,10000,1.8,0.1,0,-1.66875,39.5528
0,10000,1.8,0.125,0,-1.53297,21.7018
0,10000,1.8,0.15,0,-1.47492,15.257
0,10000,1.8,0.175,0,-1.41937,10.2689
0,10000,1.8,0.2,0,-1.32149,5.3841
0,10000,1.8,0.225,0,-1.33827,6.3249
0,10000,1.8,0.25,0,-1.29857,4.3692
0,10000,1.8,0.275,0,-1.2765,5.0495
0,10000,1.8,0.3,0,-1.22958,3.3917
0,10000,1.8,0.325,0,-1.20995,3.2936
0,10000,1.8,0.35,0,-1.18712,2.5186
0,10000,1.8,0.375,0,-1.19228,3.0445
0,10000,1.8,0.4,0,-1.17255,2.3809
0,10000,1.8,0.425,0,-1.14534,2.0817
0,10000,1.8,0.45,0,-1.13906,2.2968
0,10000,1.8,0.475,0,-1.13376,1.9814
0,10000,1.8,0.5,0,-1.09543,1.5662
0,10000,1.9,0.0,0,-1.98972,372.3537
0,10000,1.9,0.025,0,-2.20504,358.9427
0,10000,1.9,0.05,0,-1.94761,121.4931
0,10000,1.9,0.075,0,-1.80535,73.9905
0,10000,1.9,0.1,0,-1.63191,29.9357
0,10000,1.9,0.125,0,-1.53667,17.9075
0,10000,1.9,0.15,0,-1.51306,16.8064
0,10000,1.9,0.175,0,-1.4305,9.6155
0,10000,1.9,0.2,0,-1.37883,8.3819
0,10000,1.9,0.225,0,-1.37863,8.8739
0,10000,1.9,0.25,0,-1.33954,7.962
0,10000,1.9,0.275,0,-1.25861,3.7871
0,10000,1.9,0.3,0,-1.2672,4.236
0,10000,1.9,0.325,0,-1.23134,3.6961
0,10000,1.9,0.35,0,-1.2234,3.2458
0,10000,1.9,0.375,0,-1.20185,3.3123
0,10000,1.9,0.4,0,-1.19026,2.8031
0,10000,1.9,0.425,0,-1.16527,2.4602
0,10000,1.9,0.45,0,-1.17493,2.9794
0,10000,1.9,0.475,0,-1.12949,1.9867
0,10000,1.9,0.5,0,-1.11433,1.8559
0,10000,2.0,0.0,0,-1.7017,214.4331
0,10000,2.0,0.025,0,-2.33676,463.2345
0,10000,2.0,0.05,0,-1.95584,104.4341
0,10000,2.0,0.075,0,-1.87845,86.4749
0,10000,2.0,0.1,0,-1.60737,22.5234
0,10000,2.0,0.125,0,-1.57264,21.1089
0,10000,2.0,0.15,0,-1.53654,19.6818
0,10000,2.0,0.175,0,-1.46956,15.0551
0,10000,2.0,0.2,0,-1.36718,6.8828
0,10000,2.0,0.225,0,-1.39629,9.8908
0,10000,2.0,0.25,0,-1.30308,5.0851
0,10000,2.0,0.275,0,-1.30213,5.7913
0,10000,2.0,0.3,0,-1.27866,5.089
0,10000,2.0,0.325,0,-1.23174,2.6243
0,10000,2.0,0.35,0,-1.23218,3.5058
0,10000,2.0,0.375,0,-1.20428,3.1216
0,10000,2.0,0.4,0,-1.15276,1.6865
0,10000,2.0,0.425,0,-1.16221,2.442
0,10000,2.0,0.45,0,-1.155,2.1649
0,10000,2.0,0.475,0,-1.12516,1.8112
0,10000,2.0,0.5,0,-1.1049,1.3697
0,10000,1.0,0.0,1,-1.19189,77.6083
0,10000,1.0,0.025,1,-2.18969,331.2816
0,10000,1.0,0.05,1,-1.82761,96.0896
0,10000,1.0,0.075,1,-1.59654,33.0068
0,10000,1.0,0.1,1,-1.49985,19.7144
0,10000,1.0,0.125,1,-1.43184,13.3741
0,10000,1.0,0.15,1,-1.4197,14.5938
0,10000,1.0,0.175,1,-1.32205,7.61
0,10000,1.0,0.2,1,-1.27361,5.1901
0,10000,1.0,0.225,1,-1.23078,4.4858
0,10000,1.0,0.25,1,-1.21906,4.2355
0,10000,1.0,0.275,1,-1.21242,4.189
0,10000,1.0,0.3,1,-1.17873,3.2979
0,10000,1.0,0.325,1,-1.14417,2.6524
0,10000,1.0,0.35,1,-1.11839,2.2305
0,10000,1.0,0.375,1,-1.11577,2.058
0,10000,1.0,0.4,1,-1.07277,1.6795
0,10000,1.0,0.425,1,-1.06642,1.5412
0,10000,1.0,0.45,1,-1.04782,1.346
0,10000,1.0,0.475,1,-1.0223,1.2173
0,10000,1.0,0.5,1,-1.01508,0.996
0,10000,1.1,0.0,1,-1.37527,114.8648
0,10000,1.1,0.025,1,-1.9755,184.4914
0,10000,1.1,0.05,1,-1.82083,82.7235
0,10000,1.1,0.075,1,-1.61455,35.7011
0,10000,1.1,0.1,1,-1.5313,22.4458
0,10000,1.1,0.125,1,-1.46807,16.0941
0,10000,1.1,0.15,1,-1.39854,11.4815
0,10000,1.1,0.175,1,-1.3303,7.7275
0,10000,1.1,0.2,1,-1.30108,6.7466
0,10000,1.1,0.225,1,-1.29103,7.0399
0,10000,1.1,0.25,1,-1.2352,4.5955
0,10000,1.1,0.275,1,-1.21842,4.162
0,10000,1.1,0.3,1,-1.19957,3.3512
0,10000,1.1,0.325,1,-1.15396,2.4974
0,10000,1.1,0.35,1,-1.14333,2.3564
0,10000,1.1,0.375,1,-1.11412,2.1813
0,10000,1.1,0.4,1,-1.09357,1.6122
0,10000,1.1,0.425,1,-1.06512,1.3285
0,10000,1.1,0.45,1,-1.05444,1.2739
0,10000,1.1,0.475,1,-1.05494,1.4186
0,10000,1.1,0.5,1,-1.02829,1.1684
0,10000,1.2,0.0,1,-1.61102,197.0632
0,10000,1.2,0.025,1,-2.11148,266.6132
0,10000,1.2,0.05,1,-1.86201,111.6925
0,10000,1.2,0.075,1,-1.66138,39.134
0,10000,1.2,0.1,1,-1.56439,26.0095
0,10000,1.2,0.125,1,-1.46941,15.4415
0,10000,1.2,0.15,1,-1.37568,9.5696
0,10000,1.2,0.175,1,-1.36356,9.5698
0,10000,1.2,0.2,1,-1.34165,8.9741
0,10000,1.2,0.225,1,-1.27932,5.8414
0,10000,1.2,0.25,1,-1.27314,5.3137
0,10000,1.2,0.275,1,-1.22623,4.0796
0,10000,1.2,0.3,1,-1.20609,3.6806
0,10000,1.2,0.325,1,-1.14363,2.432
0,10000,1.2,0.35,1,-1.16027,2.8148
0,10000,1.2,0.375,1,-1.12328,2.2189
0,10000,1.2,0.4,1,-1.10598,1.9459
0,10000,1.2,0.425,1,-1.0882,1.6002
0,10000,1.2,0.45,1,-1.07617,1.4935
0,10000,1.2,0.475,1,-1.0638,1.5875
0,10000,1.2,0.5,1,-1.03935,1.0885
0,10000,1.3,0.0,1,-1.39265,122.714
0,10000,1.3,0.025,1,-2.10459,276.2853
0,10000,1.3,0.05,1,-1.85834,91.7665
0,10000,1.3,0.075,1,-1.7307,45.9193
0,10000,1.3,0.1,1,-1.52314,21.9815
0,10000,1.3,0.125,1,-1.4516,13.6377
0,10000,1.3,0.15,1,-1.45208,15.7441
0,10000,1.3,0.175,1,-1.36215,8.4788
0,10000,1.3,0.2,1,-1.35751,8.4816
0,10000,1.3,0.225,1,-1.30561,6.6021
0,10000,1.3,0.25,1,-1.23504,3.9711
0,10000,1.3,0.275,1,-1.2309,4.1029
0,10000,1.3,0.3,1,-1.21463,3.787
0,10000,1.3,0.325,1,-1.19972,3.8296
0,10000,1.3,0.35,1,-1.1578,2.5571
0,10000,1.3,0.375,1,-1.13651,2.0461
