patent_id,date,filing_date,country,longitude,latitude,cpc,type,title,assignee,person,first,second,inventors,loc,cites,birth,death
1787972,1931-01-06,1925-07-20,USA,-74.007141,40.71455,,utility,Method of developing oil fields ,Henry L Doherty,,,HENRY L. DOHERTY,['HENRY L. DOHERTY'],,,1925,1948
1787973,1931-01-06,1925-08-01,USA,-74.007141,40.71455,,utility,Method of developing oil fields ,Henry L Doherty,,,HENRY i. DOHERTY,['HENRY i. DOHERTY'],,,1925,1948
1796788,1931-03-17,1927-07-18,USA,-118.245453,34.053577,,utility,Maintaining and increasing flow of failing wells ,Union Oil Co,,,"FRANE F,. HILL","['FRANE F,. HILL']",,,1927,1948
1812267,1931-06-30,1928-07-28,USA,-71.2071,42.338547,,utility,Process for operating oil and gas wells under reduced pressure ,Standard Oil Dev Co,,,WARREN K. LEWIS,['WARREN K. LEWIS'],,,1928,1948
1816260,1931-07-28,1930-04-05,USA,-97.330864,32.75095,,utility,Method of repressuring and flowing of wells ,Lee Robert Edward,,,ROBERT EDWARD LEE,['ROBERT EDWARD LEE'],,,1930,1948
1820291,1931-08-25,1930-03-17,EST,24.752581,59.43642,,utility,Oil extracting device ,Strandell Arthur,,,ARTHUR STRANDELL,['ARTHUR STRANDELL'],,,1930,1948
1826371,1931-10-06,1930-04-04,USA,-78.428139,42.07761,,utility,Method of treating oil fields ,Peter J Spindler,,,PETER J. SPINDLER,['PETER J. SPINDLER'],,,1930,1948
1835355,1931-12-08,1930-05-28,EST,24.752581,59.43642,,utility,Oil extracting device ,Strandell Arthur,,,ARTHUR STRANDELL,['ARTHUR STRANDELL'],,,1930,1948
1840994,1932-01-12,1930-01-20,USA,-95.99353,36.150116,,utility,Electromagnetic pump ,Irwin B Winsor,,,IRWIN B. WINSOR,['IRWIN B. WINSOR'],,,1930,1949
1855603,1932-04-26,1929-06-08,USA,-95.99353,36.150116,,utility,Pulsing machine ,James O Lewis,,,SABES 0. LEWIS,['SABES 0. LEWIS'],,,1929,1949
1858847,1932-05-17,1928-07-28,USA,-74.211433,40.663818,,utility,Process for obtaining hydrocarbons from wells ,Standard Oil Dev Co,,,PHILIP L. YOUNG,['PHILIP L. YOUNG'],,,1928,1949
1861332,1932-05-31,1925-10-28,USA,-80.085503,42.129829,,utility,Apparatus for applying pressure to oil sands ,Charles A Waitz,,,CHARLES A. WAITZ,['CHARLES A. WAITZ'],,,1925,1949
1872906,1932-08-23,1925-08-08,USA,-74.005966,40.712772,,utility,Method of developing oil fields ,Henry L Doherty,,,HENRY L. DOHERTY,['HENRY L. DOHERTY'],,,1925,1949
1885807,1932-11-01,1924-08-28,USA,-78.49012,42.609318,,utility,Production of oil from oil sands in the earth ,Henry L Doherty,,,HENRY L. DOHERTY,['HENRY L. DOHERTY'],,,1924,1949
1899497,1933-02-28,1925-05-22,USA,-74.007141,40.71455,,utility,Method of developing oil fields ,Henry L Doherty,,,HENRY L. DOHERTY,['HENRY L. DOHERTY'],,,1925,1950
1909589,1933-05-16,1929-01-08,USA,-79.997337,40.438511,,utility,Flooding control valve ,Oil Well Supply Co,,,PATRICK H. MACK,['PATRICK H. MACK'],,,1929,1950
1913395,1933-06-13,1930-06-18,USA,-74.007141,40.71455,,utility,Underground gasification of carbonaceous material-bearing substances ,Lewis C Karrick,,,LEWIS C. KARRICK,['LEWIS C. KARRICK'],,,1930,1950
1920637,1933-08-01,1925-09-05,USA,-74.007141,40.71455,,utility,Development of oil fields ,Henry L Doherty,,,Henry L. Doherty,['Henry L. Doherty'],,,1925,1950
1970295,1934-08-14,1927-11-19,USA,-101.833893,35.20726,,utility,Apparatus for treating well fluids ,Paraffin Heater Engineering Co,,,Woward H. Fitepatrick,['Woward H. Fitepatrick'],,,1927,1951
1978655,1934-10-30,1926-11-27,USA,-95.979034,36.746765,,utility,Process for increasing the production of oil wells ,Empire Oil & Refining Company,,,Herbert R. Straight,['Herbert R. Straight'],,,1926,1951
1992323,1935-02-26,1932-09-02,USA,-74.007141,40.71455,,utility,Process of degasifying coal and other carbonaceous material in situ ,James H Hayes,,,Leo Ranney,['Leo Ranney'],,,1932,1952
2019418,1935-10-29,1935-04-24,USA,-84.50032,38.048599,,utility,Method and apparatus for increasing recovery from oil sands ,William E Lang,,,William E. Lang,['William E. Lang'],,,1935,1952
2048731,1936-07-28,1932-10-19,USA,-74.007141,40.71455,,utility,Method of developing oil fields ,Henry L Doherty,,,Henry L. Doherty,['Henry L. Doherty'],,,1925,1953
2104327,1938-01-04,1935-12-06,USA,-95.99353,36.150116,,utility,Method of recovering earth components from wells ,Meinhard H Kotzebue,,,Meinhard H. Kotzebue,['Meinhard H. Kotzebue'],,,1935,1955
2104328,1938-01-04,1936-07-11,USA,-95.99353,36.150116,,utility,Method of recovering earth components from wells ,Meinhard H Kotzebue,,,Meinhard H. Kotzebue,['Meinhard H. Kotzebue'],,,1936,1955
2107006,1938-02-01,1936-05-01,USA,-84.50032,38.048599,,utility,Apparatus for treating depleted oil sands ,William E Lang,,,William E. Lang,['William E. Lang'],,,1936,1955
2115378,1938-04-26,1937-02-02,USA,-83.974777,37.699947,,utility,Process for secondary recovery from oil wells ,"Arnold R Hanson, Willner Hanson S",,,Harry Comer Wolf,"['Harry Comer Wolf','S. Willner Hanson']",,,1937,1955
2135319,1938-11-01,1938-03-17,USA,-95.99353,36.150116,,utility,Secondary recovery of oil from underground reservoirs ,Stanolind Oil & Gas Co,,,George S. Bays,['George S. Bays'],,,1938,1955
2148717,1939-02-28,1937-01-21,USA,-78.650475,41.955864,,utility,Process of extracting oil from oil sands ,Alvin M Whitney,,,Alvin M. Whitney,['Alvin M. Whitney'],,,1937,1956
2173556,1939-09-19,1938-05-16,USA,-75.470268,40.602627,,utility,Method of and apparatus for stripping oil sands ,Hiram W Hixon,,,Hiram W. Hixon,['Hiram W. Hixon'],,,1938,1956
2181654,1939-11-28,1938-01-24,USA,-93.285995,32.615177,,utility,Apparatus for heating gas ,Howard W Davenport,,,Howard W. Davenport,['Howard W. Davenport'],,,1938,1956
2186035,1940-01-09,1938-06-30,USA,-94.583107,39.103436,,utility,Method of and apparatus for flowing wells ,William E Niles,,,William E. Niles,['William E. Niles'],,,1938,1957
2188737,1940-01-30,1939-04-26,USA,-75.470268,40.602627,,utility,Apparatus for recovering oil from subterranean oil pockets ,Hiram W Hixon,,,Hiram W. Hixon,['Hiram W. Hixon'],,,1939,1957
2211696,1940-08-13,1937-09-23,USA,-84.245056,43.617077,,utility,Treatment of wells ,Dow Chemical Co,,,Carroll R. Irons,['Carroll R. Irons'],,,1937,1957
2218955,1940-10-22,1939-08-15,USA,-97.742989,30.26759,,utility,Guide for flexible well lines ,Julius W Johnson,,,Julius W. Johnson,['Julius W. Johnson'],,,1939,1957
