patent_id,date,filing_date,country,longitude,latitude,cpc,type,title,assignee,person,first,second,inventors,loc,cites,birth,death
10120728,2018-11-06,2017-08-03,US,-122.159851,37.444332,"G06T1/20,G06F9/5077,G06T1/60",utility,Graphical processing unit (GPU) implementing a plurality of virtual GPUs,Apple Inc.,fl:ro_ln:drebin-1,Robert A.,Drebin,[],a26e22db-16c8-11ed-9b5f-1234bde3cd05,"6483505,7796129,7928990,7644407,6897871,6952214,8072461,7072052,7327369",2017-08-03,0-0-0
10121086,2018-11-06,2016-03-03,JP,139.702789,35.530529,"G06V30/287,G06V20/62,G06V30/142,G06V30/413,H04N5/232933,G06T1/20",utility,Information processing apparatus and information processing method,KABUSHIKI KAISHA TOSHIBA,fl:ka_ln:suzuki-110,Kaoru,Suzuki,[],1c0a3d5a-16c8-11ed-9b5f-1234bde3cd05,"7221399,7965904,8139862,5949906,9843759,9355336,5557689,5410611,9269009,5687253,6330358,6188790,9640173,6188790,9640173",2016-03-03,0-0-0
10121220,2018-11-06,2015-04-28,US,-97.743698,30.271126,"G06T15/005,G06F2212/1041,G09G2360/121,G06F9/3885,G06F12/0808,G06F12/0833,G06F2212/621,G06F12/0888,G09G5/395,G06F2212/1024,G09G2340/10,G09G5/39,G06T15/04,G06T1/20",utility,System and method for creating aliased mappings to minimize impact of cache invalidation,NVIDIA CORPORATION,fl:je_ln:bolz-1,Jeffrey A.,Bolz,[],1811f8b9-16c8-11ed-9b5f-1234bde3cd05,6744438,2015-04-28,0-0-0
10121221,2018-11-06,2017-01-17,US,-122.036339,37.368832,"G06T15/005,G06T1/20,G06T7/20,G06T2210/08,G06T17/10,G06T15/20",utility,Method and apparatus to accelerate rendering of graphics images,"Advanced Micro Devices, Inc.",fl:ev_ln:fainstain-1,Evgene,Fainstain,[],c59ba8f0-16c7-11ed-9b5f-1234bde3cd05,"5835096,8547395,6806876,7038679,7248261,6057847,6414684,7876332,6414684,7876332",2017-01-17,0-0-0
10121276,2018-11-06,2016-12-01,US,-121.890594,37.336166,"G06T2207/10004,G06T15/04,G06T7/181,G06T7/13,G06T1/20",utility,Infinite resolution textures,NVIDIA CORPORATION,fl:al_ln:reshetov-1,Alexander,Reshetov,[],13f05eea-16c8-11ed-9b5f-1234bde3cd05,,2016-12-01,0-0-0
10122883,2018-11-06,2015-03-31,JP,139.442825,35.564198,"G06F3/1248,G06F3/1204,H04N2201/0094,H03K19/1776,H03K19/17748,G06F3/1243,H04N1/0097,H03K19/17756,H04N1/32122,H03K19/17758,G06T1/20,G06F3/1205",utility,Image processing apparatus including circuit configuration and method of controlling the same,Canon Kabushiki Kaisha,fl:na_ln:yamamoto-39,Naohiro,Yamamoto,[],93594fc2-16c8-11ed-9b5f-1234bde3cd05,"8686753,7793092,9576095,9172370,7864620,6219149,8761526",2015-03-31,0-0-0
10122907,2018-11-06,2017-11-03,US,-122.330063,47.603832,"H04N5/232061,H04N5/247,H04N5/2259,H04N7/15,H04N5/262,H04N5/2353,H04N5/23229,G06T1/20,H04N7/147,H04N5/23296",utility,Integration of transducer outputs in a conferencing system,,fl:sa_ln:mckelvie-1,Samuel James,McKelvie,[],5836da24-16c8-11ed-9b5f-1234bde3cd05,"9407675,5689553",2017-11-03,0-0-0
10122986,2018-11-06,2012-02-16,JP,139.759445,35.682838,"H04N13/106,H04N13/139,H04N13/161,H04N13/243,G06T7/13,G06T1/20,H04N2213/005,H04N13/111",utility,Image processing device and image processing method,SONY CORPORATION,fl:sh_ln:hattori-34,Shinobu,Hattori,[],42f90495-16c8-11ed-9b5f-1234bde3cd05,9153032,2012-02-16,0-0-0
10127628,2018-11-13,2017-02-22,FR,5.735782,45.187561,"G06T15/00,G06F9/46,G06T1/60,G06T15/10,G06T15/005,G06F9/45508,G06F9/45533,G06F9/45545,G06F2209/509,G06T15/04,G06T17/20,G06F9/45558,G09G5/363,G06T1/20,G06F9/3851,G06F2009/45591,G06T17/00,G06F9/544,G06T1/00",utility,Method and system to virtualize graphic processing services,"VMware, Inc.",fl:se_ln:baudouin-1,Sébastien,Baudouin,[],44dc94f0-16c8-11ed-9b5f-1234bde3cd05,"8402462,8274518,6336173,8886872,6434620,9141628,7971006,7971006",2017-02-22,0-0-0
10127626,2018-11-13,2017-07-21,GB,0.118664,52.205532,"G06F9/3832,G06F9/3851,G06T1/60,G06T1/20,G06F9/3009",utility,Method and apparatus improving the execution of instructions by execution threads in data processing systems,Arm Limited,fl:ke_ln:ostby-1,Kenneth Edvard,Ostby,[],21057cd0-16c8-11ed-9b5f-1234bde3cd05,,2017-07-21,0-0-0
10127701,2018-11-13,2016-06-10,JP,139.318283,35.35767,"G06T2207/20221,G06T5/20,G06F3/1438,G09G2360/02,G06T7/13,G06T1/20,G09G2320/0613,G06T11/60,G06T2207/20021,G06V10/44,G09G2360/06,G06F3/1446,G09G5/363",utility,Image processing apparatus and control method thereof,Canon Kabushiki Kaisha,fl:ei_ln:matsuzaki-3,Eiichi,Matsuzaki,[],22028560-16c8-11ed-9b5f-1234bde3cd05,"5452105,4947269,5515181,5708513,6381376,5644411",2016-06-10,0-0-0
10127247,2018-11-13,2017-09-11,US,-111.92601,33.494221,"G06F16/583,G06Q20/209,G06Q20/3276,G06Q20/047,G06T1/0007,G06T1/20",utility,Linking digital images with related records,"AMERICAN EXPRESS TRAVEL RELATED SERVICES COMPANY, INC",fl:de_ln:arora-2,Deepak,Arora,[],c42a7d8e-16c7-11ed-9b5f-1234bde3cd05,9865012,2017-09-11,0-0-0
10126812,2018-11-13,2015-05-02,US,-80.14949,26.011202,"G06V10/28,G02B27/017,G02B2027/0178,G02B2027/0187,G06F3/013,G02B2027/014,G02B27/0093,G06T2207/30201,G09G5/006,G06F3/016,G06T7/73,G06T19/006,G09G2370/02,G09G2370/20,G06F3/017,G06V10/40,G02B2027/0127,H04L67/10,G02B2027/0138,H04L67/131,G02B27/0172,G06T2219/024,G06T1/20",utility,Interacting with a network to transmit virtual image data in augmented or virtual reality systems,"Magic Leap, Inc.",fl:sa_ln:miller-17,Samuel A.,Miller,[],f2bf6723-16c7-11ed-9b5f-1234bde3cd05,"5422653,5742264,5526042,7729515,7113270,5311879,7023536,5271093,9229540,8831278,6151179,7961909,6441811,7161664,7268956,7826641,6947219,8223024,4204742,8542219,8553935,5138555,8897494,5311897,8757812,7203384,8730129,3632865,4984179,7386799,9189856,8508830,7474809,7088440,8832233,7038846,7110100,8879155,9235934,6011526,8970709,5933125,9235934,6011526,8970709,5933125",2015-05-02,0-0-0
10127625,2018-11-13,2016-05-27,US,-71.715843,42.356152,"H04N19/90,G06T1/20,H04N19/182,G06T11/001,G06T1/60,H04N19/42,H04N19/593,G06T11/40",utility,Bandwidth-efficient lossless fragment color compression of multi-sample pixels,Intel Corporation,fl:la_ln:seiler-1,Larry,Seiler,[],0950957b-16c8-11ed-9b5f-1234bde3cd05,,2016-05-27,0-0-0
10134355,2018-11-20,2015-05-22,US,-122.192329,47.614418,"G06T1/20,G09G5/04,G09G5/001",utility,Two-phase hybrid vertex classification,"Advanced Micro Devices, Inc.",fl:sh_ln:che-11,Shuai,Che,[],816cf2b5-16c8-11ed-9b5f-1234bde3cd05,"5761077,8077174",2015-05-22,0-0-0
10134184,2018-11-20,2016-12-28,KR,127.178566,37.240574,"G06T11/40,G06T1/20,G06T17/10",utility,Method of rendering object including path and rendering apparatus for performing path rendering,"Samsung Electronics Co., Ltd.",fl:ja_ln:lee-679,Jaedon,Lee,[],755a6338-16c8-11ed-9b5f-1234bde3cd05,6483519,2016-12-28,0-0-0
10134179,2018-11-20,2016-09-30,US,-70.614754,41.551498,"G10H2220/341,G06T15/205,G06T2200/04,G06T1/20,G10H2250/435,G06T1/60,G10H2220/101,G06T13/205,G10H2220/395,G06T2210/56,G10H2220/401,G06F3/0346,G10H1/0008,G10H2220/391,G10H2220/111",utility,Visual music synthesizer,"Visual Music Systems, Inc.",fl:wi_ln:sebastian-2,William B.,Sebastian,[],0ca4ae89-16c8-11ed-9b5f-1234bde3cd05,9389684,2016-09-30,0-0-0
10134178,2018-11-20,2016-09-30,US,-70.614754,41.551498,"G10H2250/435,G06T15/205,G10H1/0008,G06F3/0346,G10H2220/391,G10H2220/111,G10H2220/101,G10H2220/401,G06T2210/56,G10H2220/395,G06T2200/04,G06T13/205,G10H2220/341,G06T1/60,G06T1/20",utility,Four-dimensional path-adaptive anchoring for immersive virtual visualization systems,"Visual Music Systems, Inc.",fl:wi_ln:sebastian-2,William B.,Sebastian,[],0ca4ae89-16c8-11ed-9b5f-1234bde3cd05,9389684,2016-09-30,0-0-0
10134175,2018-11-20,2017-09-27,US,-118.325859,34.181644,"G06T2210/36,G06T1/20,G06T15/04,G06T15/503,G06T15/80,G06T15/005",utility,Gradient adjustment for texture mapping to non-orthonormal grid,SONY INTERACTIVE ENTERTAINMENT INC.,fl:ma_ln:cerny-3,Mark Evan,Cerny,[],198b0c3f-16c8-11ed-9b5f-1234bde3cd05,"5777913,8149242,8174527,H1812,8233004,6967663,8581929,6313838,6417861,6476819,8031192,5224208,8669999,5602391,5130794,7339594,8207975,7426724,7907792,8090383,9495790,6804066,6424343,7786993,6906723,7161603,5422653,8228328,7916155,7511717,7081893,4513317,7046245,7876332,6496187,8643644,8144156,8300059,6731298,7336277,8044956,7355604,6469700,8144156,8300059,6731298,7336277,8044956,7355604,6469700",2017-09-27,0-0-0
