scale,ncc,meanpat,stdpat,nlinks,fclust,rep
0.014497,1293,8.881671,34.361446,1332,0.989288,17
0.014497,1293,8.881671,34.352745,1332,0.989288,18
0.014497,1293,8.881671,34.413685,1332,0.989288,19
0.014497,1293,8.881671,34.371239,1332,0.989288,20
0.014497,1293,8.881671,34.373390,1332,0.989288,21
0.014497,1293,8.881671,34.362022,1332,0.989288,22
0.014497,1293,8.881671,34.363075,1332,0.989288,23
0.014497,1293,8.881671,34.358738,1332,0.989288,24
0.014497,1293,8.881671,34.354767,1332,0.989288,25
0.014497,1293,8.881671,34.357956,1332,0.989288,26
0.014497,1293,8.881671,34.392929,1332,0.989288,27
0.014497,1293,8.881671,34.353386,1332,0.989288,28
0.014497,1293,8.881671,34.371155,1332,0.989288,29
0.014497,1293,8.881671,34.360779,1332,0.989288,30
0.014497,1293,8.881671,34.355030,1332,0.989288,31
0.014497,1293,8.881671,34.360790,1332,0.989288,32
0.014497,1293,8.881671,34.390015,1332,0.989288,33
0.014497,1293,8.881671,34.353741,1332,0.989288,34
0.014497,1293,8.881671,34.361584,1332,0.989288,35
0.014497,1293,8.881671,34.360222,1332,0.989288,36
0.014497,1293,8.881671,34.357952,1332,0.989288,37
0.014497,1293,8.881671,34.352589,1332,0.989288,38
0.014497,1293,8.881671,34.352680,1332,0.989288,39
0.014497,1293,8.881671,34.354168,1332,0.989288,40
0.014497,1293,8.881671,34.359177,1332,0.989288,41
0.014497,1293,8.881671,34.354702,1332,0.989288,42
0.014497,1293,8.881671,34.384586,1332,0.989288,43
0.014497,1293,8.881671,34.362347,1332,0.989288,44
0.014497,1293,8.881671,34.393372,1332,0.989288,45
0.014497,1293,8.881671,34.358768,1332,0.989288,46
0.014497,1293,8.881671,34.433289,1332,0.989288,47
0.014497,1293,8.881671,34.356293,1332,0.989288,48
0.014497,1293,8.881671,34.360611,1332,0.989288,49
0.014497,1293,8.881671,34.361099,1332,0.989288,50
0.014497,1293,8.881671,34.351852,1332,0.989288,51
0.014497,1293,8.881671,34.375191,1332,0.989288,52
0.014497,1293,8.881671,34.367313,1332,0.989288,53
0.014497,1293,8.881671,34.503723,1332,0.989288,54
0.014497,1293,8.881671,34.360359,1332,0.989288,55
0.014497,1293,8.881671,34.353561,1332,0.989288,56
0.014497,1293,8.881671,34.352047,1332,0.989288,57
0.014497,1293,8.881671,34.369137,1332,0.989288,58
0.014497,1293,8.881671,34.353504,1332,0.989288,59
0.014497,1293,8.881671,34.386726,1332,0.989288,60
0.014497,1293,8.881671,34.476440,1332,0.989288,61
0.014497,1293,8.881671,34.359665,1332,0.989288,62
0.014497,1293,8.881671,34.356503,1332,0.989288,63
0.014497,1293,8.881671,34.353874,1332,0.989288,64
0.014497,1293,8.881671,34.380230,1332,0.989288,65
0.014497,1293,8.881671,34.356602,1332,0.989288,66
0.014497,1293,8.881671,34.362617,1332,0.989288,67
0.014497,1293,8.881671,34.353764,1332,0.989288,68
0.014497,1293,8.881671,34.355419,1332,0.989288,69
0.014497,1293,8.881671,34.413807,1332,0.989288,70
0.014497,1293,8.881671,34.360401,1332,0.989288,71
0.014497,1293,8.881671,34.368343,1332,0.989288,72
0.014497,1293,8.881671,34.361652,1332,0.989288,73
0.014497,1293,8.881671,34.463757,1332,0.989288,74
0.014497,1293,8.881671,34.351212,1332,0.989288,75
0.014497,1293,8.881671,34.354126,1332,0.989288,76
0.014497,1293,8.881671,34.354439,1332,0.989288,77
0.014497,1293,8.881671,34.357410,1332,0.989288,78
0.014497,1293,8.881671,34.355686,1332,0.989288,79
0.014497,1293,8.881671,34.390350,1332,0.989288,80
0.014497,1293,8.881671,34.354080,1332,0.989288,81
0.014497,1293,8.881671,34.352829,1332,0.989288,82
0.014497,1293,8.881671,34.356606,1332,0.989288,83
0.014497,1293,8.881671,34.357754,1332,0.989288,84
0.014497,1293,8.881671,34.510986,1332,0.989288,85
0.014497,1293,8.881671,34.353859,1332,0.989288,86
0.014497,1293,8.881671,34.375568,1332,0.989288,87
0.014497,1293,8.881671,34.362907,1332,0.989288,88
0.014497,1293,8.881671,34.365910,1332,0.989288,89
0.014497,1293,8.881671,34.355568,1332,0.989288,90
0.014497,1293,8.881671,34.361935,1332,0.989288,91
0.014497,1293,8.881671,34.356602,1332,0.989288,92
0.014497,1293,8.881671,34.400093,1332,0.989288,93
0.014497,1293,8.881671,34.357494,1332,0.989288,94
