scale,ncc,meanpat,stdpat,nlinks,fclust,rep
0.010000,2433,14.348541,53.397259,2522,0.987419,65
0.010000,2433,14.348541,53.359741,2522,0.987419,66
0.010000,2433,14.348541,53.279018,2522,0.987419,67
0.010000,2433,14.348541,53.292072,2522,0.987419,68
0.010000,2433,14.348541,53.273323,2522,0.987419,69
0.010000,2433,14.348541,53.272427,2522,0.987419,70
0.010000,2433,14.348541,53.325962,2522,0.987419,71
0.010000,2433,14.348541,53.277699,2522,0.987419,72
0.010000,2433,14.348541,53.286053,2522,0.987419,73
0.010000,2433,14.348541,53.272114,2522,0.987419,74
0.010000,2433,14.348541,53.415009,2522,0.987419,75
0.010000,2433,14.348541,53.298611,2522,0.987419,76
0.010000,2433,14.348541,53.388206,2522,0.987419,77
0.010000,2433,14.348541,53.280220,2522,0.987419,78
0.010000,2433,14.348541,53.285755,2522,0.987419,79
0.010000,2433,14.348541,53.451359,2522,0.987419,80
0.010000,2433,14.348541,53.321159,2522,0.987419,81
0.010000,2433,14.348541,53.276134,2522,0.987419,82
0.010000,2433,14.348541,53.276936,2522,0.987419,83
0.010000,2433,14.348541,53.329185,2522,0.987419,84
0.010000,2433,14.348541,53.292194,2522,0.987419,85
0.010000,2433,14.348541,53.336758,2522,0.987419,86
0.010000,2433,14.348541,53.294670,2522,0.987419,87
0.010000,2433,14.348541,53.283085,2522,0.987419,88
0.010000,2433,14.348541,53.279922,2522,0.987419,89
0.010000,2433,14.348541,53.276783,2522,0.987419,90
0.010000,2433,14.348541,53.273808,2522,0.987419,91
0.010000,2433,14.348541,53.276466,2522,0.987419,92
0.010000,2433,14.348541,53.270924,2522,0.987419,93
0.010000,2433,14.348541,53.445930,2522,0.987419,94
0.010000,2433,14.348541,53.297646,2522,0.987419,95
0.010000,2433,14.348541,53.271160,2522,0.987419,96
0.010000,2433,14.348541,53.295132,2522,0.987419,97
0.010000,2433,14.348541,53.271900,2522,0.987419,98
0.010000,2433,14.348541,53.300957,2522,0.987419,99
0.012041,2422,14.413708,53.407673,2546,0.982955,0
0.012041,2422,14.413708,53.416496,2546,0.982955,1
0.012041,2422,14.413708,53.425209,2546,0.982955,2
0.012041,2422,14.413708,53.408932,2546,0.982955,3
0.012041,2422,14.413708,53.418385,2546,0.982955,4
0.012041,2422,14.413708,53.461258,2546,0.982955,5
0.012041,2422,14.413708,53.395546,2546,0.982955,6
0.012041,2422,14.413708,53.401146,2546,0.982955,7
