scale,ncc,meanpat,stdpat,nlinks,fclust,rep
0.010000,1518,9.619895,38.597858,1520,0.998684,42
0.010000,1518,9.619895,38.597954,1520,0.998684,43
0.010000,1518,9.619895,38.597347,1520,0.998684,44
0.010000,1518,9.619895,38.598930,1520,0.998684,45
0.010000,1518,9.619895,38.597637,1520,0.998684,46
0.010000,1518,9.619895,38.597450,1520,0.998684,47
0.010000,1518,9.619895,38.597626,1520,0.998684,48
0.010000,1518,9.619895,38.597420,1520,0.998684,49
0.010000,1518,9.619895,38.597588,1520,0.998684,50
0.010000,1518,9.619895,38.597496,1520,0.998684,51
0.010000,1518,9.619895,38.597469,1520,0.998684,52
0.010000,1518,9.619895,38.598919,1520,0.998684,53
0.010000,1518,9.619895,38.597801,1520,0.998684,54
0.010000,1518,9.619895,38.597355,1520,0.998684,55
0.010000,1518,9.619895,38.597980,1520,0.998684,56
0.010000,1518,9.619895,38.597549,1520,0.998684,57
0.010000,1518,9.619895,38.597469,1520,0.998684,58
0.010000,1518,9.619895,38.597645,1520,0.998684,59
0.010000,1518,9.619895,38.597652,1520,0.998684,60
0.010000,1518,9.619895,38.598595,1520,0.998684,61
0.010000,1518,9.619895,38.603546,1520,0.998684,62
0.010000,1518,9.619895,38.598160,1520,0.998684,63
0.010000,1518,9.619895,38.599670,1520,0.998684,64
0.010000,1518,9.619895,38.599834,1520,0.998684,65
0.010000,1518,9.619895,38.597488,1520,0.998684,66
0.010000,1518,9.619895,38.597477,1520,0.998684,67
0.010000,1518,9.619895,38.597931,1520,0.998684,68
0.010000,1518,9.619895,38.597500,1520,0.998684,69
0.010000,1518,9.619895,38.597378,1520,0.998684,70
0.010000,1518,9.619895,38.597393,1520,0.998684,71
0.010000,1518,9.619895,38.597404,1520,0.998684,72
0.010000,1518,9.619895,38.598522,1520,0.998684,73
0.010000,1518,9.619895,38.597664,1520,0.998684,74
0.010000,1518,9.619895,38.597942,1520,0.998684,75
0.010000,1518,9.619895,38.597542,1520,0.998684,76
0.010000,1518,9.619895,38.613350,1520,0.998684,77
0.010000,1518,9.619895,38.597576,1520,0.998684,78
0.010000,1518,9.619895,38.597408,1520,0.998684,79
0.010000,1518,9.619895,38.597946,1520,0.998684,80
0.010000,1518,9.619895,38.597549,1520,0.998684,81
0.010000,1518,9.619895,38.597507,1520,0.998684,82
0.010000,1518,9.619895,38.597435,1520,0.998684,83
0.010000,1518,9.619895,38.603916,1520,0.998684,84
0.010000,1518,9.619895,38.599281,1520,0.998684,85
0.010000,1518,9.619895,38.600090,1520,0.998684,86
0.010000,1518,9.619895,38.597382,1520,0.998684,87
0.010000,1518,9.619895,38.597359,1520,0.998684,88
0.010000,1518,9.619895,38.597725,1520,0.998684,89
0.010000,1518,9.619895,38.597404,1520,0.998684,90
0.010000,1518,9.619895,38.598728,1520,0.998684,91
0.010000,1518,9.619895,38.598019,1520,0.998684,92
0.010000,1518,9.619895,38.597530,1520,0.998684,93
0.010000,1518,9.619895,38.598431,1520,0.998684,94
0.010000,1518,9.619895,38.597656,1520,0.998684,95
0.010000,1518,9.619895,38.597450,1520,0.998684,96
0.010000,1518,9.619895,38.598148,1520,0.998684,97
