latitude;longitude;population
38,9472;-92,3268;142637
33,8841;-117,9279;142280
38,8833;-94,82;142114
39,9197;-104,9438;141799
40,4152;-104,7706;140984
30,0849;-94,1451;140930
32,3265;-106,7893;140915
32,0243;-102,1147;140171
29,9977;-90,178;140046
18,4054;-65,9792;139201
40,6886;-112,0123;138868
33,8038;-117,8218;138728
42,4934;-83,027;138588
39,0877;-108,5673;138416
32,3184;-95,3062;138024
34,1597;-118,139;137554
37,0551;-76,363;137217
40,4757;-88,9703;136524
40,6658;-74,1913;135665
41,1039;-73,5585;135413
32,5995;-114,5491;135389
47,3887;-122,2128;135169
25,9773;-80,3351;135158
47,704;-116,7936;134503
26,2702;-80,2591;133801
42,5809;-83,0305;133744
39,1357;-121,6383;133106
46,5923;-120,5496;132354
32,989;-96,8999;132284
42,7274;-87,8135;132006
36,3406;-82,3806;131718
45,7891;-108,5526;131519
41,6559;-91,5303;130736
39,161;-75,5202;130186
48,7548;-122,469;129880
38,3484;-81,6322;129754
37,4003;-79,1909;128849
37,3646;-121,968;128058
35,2335;-97,3471;127701
35,5943;-77,376;127574
34,2663;-118,749;127568
35,3495;-94,3695;126452
32,4543;-99,7384;126356
18,4491;-66,7387;125727
33,0454;-96,9815;125028
29,5581;-95,3218;124478
26,612;-81,6388;124440
42,5865;-87,8773;124297
36,6224;-121,8199;123421
44,4876;-73,2316;123307
39,832;-105,151;123066
38,6085;-76,9194;122310
39,0871;-94,3501;122218
44,0154;-92,478;121870
41,7399;-111,8422;121666
26,1916;-97,6977;121441
37,8722;-122,276;121385
36,8278;-119,683;120607
30,527;-97,6642;120465
38,2701;-104,6114;120380
31,1068;-97,3891;120240
43,6116;-116,3977;119872
46,7756;-92,1393;118574
30,1738;-95,5134;118402
40,0248;-105,2524;118090
32,9716;-96,7093;118063
42,3759;-71,1185;117962
26,7469;-80,132;117588
29,8554;-93,9264;117348
34,0326;-118,1691;117222
40,5698;-122,365;117163
27,979;-82,7623;116984
32,5185;-92,0774;116927
43,0962;-75,2261;116766
45,534;-94,1718;116649
30,3751;-90,0904;116649
40,6024;-112,0008;116383
32,9067;-80,0722;115755
37,9477;-122,3389;115619
39,8837;-105,0624;115502
43,4199;-83,9501;115442
21,392;-157,7396;115264
27,9367;-82,3;114923
18,0127;-66,6212;114901
33,1246;-117,2834;114745
42,6389;-71,3217;114737
36,038;-95,7806;114237
42,0383;-88,324;114190
45,5021;-122,4413;113525
29,4874;-95,1087;113469
33,9379;-118,1311;113052
42,4918;-92,3522;112333
33,5719;-117,1909;111899
42,5209;-71,7717;111856
32,5193;-94,7622;111855
34,7289;-77,3941;111830
26,2428;-80,1312;111790
44,0563;-121,3095;111774
25,9433;-80,2426;111618
33,6667;-117,9135;111490
42,4959;-96,3901;111361
47,9525;-122,1669;110847
37,0046;-121,5854;110720
34,2741;-119,2314;110358
33,4928;-117,1315;110114
29,5935;-95,6358;110077
39,7578;-121,8161;110001
44,8197;-91,4948;109491
34,0739;-118,0291;108682
43,4871;-112,0362;108544
42,3127;-83,213;108414
39,1637;-86,5257;108387
34,0555;-117,9113;108173
39,5736;-119,7161;108025
33,6273;-84,58;107865
39,5926;-104,8673;107702
33,9366;-84,3703;107221
33,9566;-118,3444;106806
45,5273;-122,936;106612
39,2004;-76,859;106600
34,1879;-118,3235;106389
26,0789;-80,287;105821
32,8017;-116,9604;105721
34,001;-117,4706;105672
33,1088;-96,6735;105444
32,6087;-85,4903;105386
47,4784;-122,1918;105355
42,7677;-86,0984;105134
42,0821;-71,0242;104713
35,2873;-106,6982;104351
37,5522;-122,3121;104165
34,1175;-117,3892;103873
47,6626;-117,2346;103761
38,0375;-78,4855;103760
33,6909;-117,1849;103680
37,6862;-122,4685;103648
33,9072;-98,5291;102482
27,8227;-82,3023;102467
33,9069;-118,0829;101893
38,9171;-94,3816;101728
40,1686;-105,1005;101642
38,3587;-121,9673;101631
39,5419;-104,9708;101514
36,5224;-82,5454;101323
33,1786;-111,5629;101207
42,2506;-71,0187;100981
26,3196;-98,1597;100964
42,4781;-70,9664;100653
31,4424;-100,4504;100057
34,3975;-117,3147;99878
36,9716;-86,4378;99669
47,3091;-122,3358;99614
39,965;-86,146;99453
46,8143;-100,7694;99433
39,9588;-85,9659;99041
39,9946;-105,0998;98889
33,1896;-117,2386;98392
26,3752;-80,108;97980
29,8976;-81,31;97703
45,4779;-122,8168;97554
33,2614;-112,3622;97542
36,8468;-76,354;97384
40,2981;-111,6994;97100
26,1547;-80,2997;96510
43,058;-70,7826;96146
38,6017;-121,3845;96076
38,9597;-95,2642;96061
40,5709;-111,8506;95635
30,2887;-89,7828;95528
33,4314;-112,6429;95042
42,3972;-83,3733;94928
37,2693;-76,7076;94892
36,6953;-76,6398;94856
33,893;-118,2274;94822
43,8241;-91,2268;94627
35,6689;-97,416;94503
33,8374;-118,2559;94475
33,135;-117,1743;94360
37,7269;-121,4523;94027
34,598;-112,3185;93923
39,5033;-84,3659;93870
41,7136;-71,1015;93638
18,0827;-67,046;93549
35,6619;-105,9819;93165
26,1259;-80,2617;93130
18,2003;-67,1397;93079
29,6994;-98,1148;92993
34,0391;-84,3513;92770
30,3238;-95,4824;92475
33,9447;-118,1926;92381
34,0235;-118,481;92168
47,697;-122,2057;92015
33,3763;-86,8068;91995
38,785;-90,7175;91825
28,528;-81,1868;91531
29,5389;-81,2457;91082
41,1144;-73,4215;91050
34,6175;-98,4202;91023
33,9836;-117,6654;91008
32,8537;-79,8203;90945
37,7927;-121,2264;90678
33,7523;-117,9938;90638
34,178;-79,7898;90419
37,0757;-94,5018;90384
39,1755;-77,2643;90210
37,7074;-122,1599;89723
28,0106;-82,5763;89456
40,863;-74,1575;89451
42,3698;-87,8716;89435
44,8306;-93,3151;89244
33,3873;-112,3235;89214
29,9777;-95,1953;89121
46,8751;-114,0214;88780
26,6194;-81,8302;88699
42,3316;-71,2085;88453
42,7002;-71,1626;88067
40,1989;-85,395;88061
44,0716;-103,2204;87826
42,5817;-83,1457;87170
37,6868;-121,7607;87154
38,6948;-121,288;87127
33,9147;-118,3476;86978
39,1735;-78,1746;86813
36,1901;-94,1574;86705
33,9678;-118,0188;86459
26,305;-80,1277;86455
39,8557;-88,9342;86231
37,7624;-121,9365;86119
39,4653;-74,9981;86042
26,2039;-98,3256;85755
47,3039;-122,2108;85623
33,6605;-117,6714;85583
33,6151;-117,8668;85159
28,1086;-80,6627;84982
45,1112;-93,3505;84951
30,665;-96,3807;84820
42,3192;-83,3805;84806
38,2975;-122,301;84703
29,7587;-94,9671;84449
41,8445;-87,7593;84189
40,0891;-85,6892;83875
35,92;-86,8516;83630
42,486;-83,3771;83562
33,8572;-118,0046;83542
31,5776;-84,1762;83447
28,5818;-81,4692;83221
40,7909;-77,8567;83170
37,5025;-122,2253;83077
41,7062;-71,4334;82783
42,2431;-84,4038;82775
41,7658;-71,4858;82691
27,9088;-82,7712;82541
25,8171;-80,1396;82400
34,084;-118,1355;82295
34,0333;-84,2027;82230
37,4001;-122,0796;82132
38,3756;-75,5865;81921
39,6383;-79,9464;81912
39,0028;-77,0207;81808
41,077;-111,962;81726
39,93;-83,7959;81620
33,8471;-118,1222;81499
34,8303;-87,6655;81268
38,6668;-121,1422;81077
36,963;-120,0778;80937
40,9304;-73,7836;80828
41,3843;-81,7286;80587
39,466;-87,3751;80567
42,3908;-71,1014;80464
35,1872;-111,6194;80167
26,5281;-80,0811;80068
25,4665;-80,4472;79996
